,fluxes,reduced_costs
AACPS2,0.0,2949.392251719626
AACPS3,0.0,-504.35495332012215
AACPS4,0.0,1865.5537054727683
EX_rmn_e,0.0,-2.0
EX_ttdca_e,0.0,99361.22167314216
AMANK,0.0,-374.40672844077193
EX_glyclt_e,4.460000000000862e-05,-2.0
EX_g6p_e,0.0,99.95387947968268
EX_2ddglcn_e,0.0,1350.6673658558561
EX_galct__D_e,0.0,0.0
EX_idon__L_e,0.0,1164.1656086444855
EX_indole_e,0.0,17911.815231866516
EX_3hcinnm_e,0.0,-2.0
EX_acmana_e,0.0,21069.461922152128
EX_galur_e,0.0,0.0
EX_but_e,0.0,253.90146951920534
EX_cbl1_e,0.0,0.0
ACNML,0.0,-1378.6235028039882
CAT_num1,0.0,936.1273919792104
SERASr,0.0,1085.5623395060938
DMSOR2,0.0,-363.78253378067166
ACMAMUT,0.0,-333.69398443797394
DDGALK,0.0,-293.62133269423606
AB6PGH_num1,0.0,287.64814805960407
AMALT1,0.0,-328.1124969547133
MLTP2,0.0,2474.749280517165
PACCOAL,0.0,-553.4000885640307
GP4GH,0.0,-689.6806646467775
ACGAMT,0.0,-1878.4786125411283
AADDGT,0.0,-43.70019312649124
EX_gbbtn_e,0.0,0.0
EX_tma_e,0.0,-2.0
GMHEPK,0.0,-18.173477542370122
EX_malttr_e,0.0,-2.0
TRE6PS,0.0,8432.490781000359
UDCPDP_num1,0.0,-250.64952917187475
TREH,0.0,1339.5345993048188
CYTK1,0.0181003,-70.1495549090996
CYTK2,0.0,-230.6640111029592
GK1,0.024322800000000006,-76.25442552556706
HACD1_num1,0.0,28.943909274432258
HACD2_num1,0.0,1896.119486407395
EX_hdcea_e,0.0,120994.60437814798
ACACCT_num1,0.0,939.2952849315479
BUTCT,0.0,-473.6970624262467
2DGULRx,0.0,-510.1958282377564
G1PTT_num1,0.0,-2993.913292303648
TDPGDH_num1,0.0,-385.29517367438166
UDPGALM,0.0,-17.68887751287093
TDPDRE,0.0,-274.3321459917388
TDPDRR,0.0,-546.4461624547312
G3PD6,0.0,1831.5184134694282
ALLTN,0.0,-316.19949483429735
UAPGR,0.0027788,-60.179889764263905
NDPK7_num1,0.0,1651.871820981387
AOBUTDs,0.0,-2.0000000000000426
GLYAT,0.0,342.5310581102967
ADNUC,0.0,5005.543914899639
GMHEPPA,0.0,-19.876666121763876
S7PI,0.0,-610.9073002513954
TRPS3,0.0056843,-956.7848722116805
CRNBTCT,0.0,1332.0102536503002
CRNCBCT,0.0,2770.4040601411816
CRNCDH,0.0,-172.0867451676325
FADRx,8.059999999999998e-05,-7.724246068091858
GTPDPK,0.0,1754.8586917120392
NADN,0.0,-1.9999999999945004
NDPK2_num1,0.0399117,-230.11185877643038
NDPK3_num1,0.0,199.72893882517565
NDPK4_num1,0.0026166,-442.5193795378109
FCLT_num1,2.23e-05,-827.7472174175381
HBZOPT,2.23e-05,-819.652579816614
PNTK,6.739999999999524e-05,-17803.299575570793
DPCOAK,6.739999999999524e-05,-2338.195894850707
HETZK,0.0,-1129.1237572243535
KDOPS,0.0038912000000000005,-11323.475837966424
KDOPP,0.0038912000000000005,-530.6777116999692
AST,0.0,22913.863167919375
SGDS,0.0,-113.35220751426732
CYNTAH,0.0,2879.4501767109514
GSPMDA,0.0,-582.1249781813258
GSPMDS,0.0,2097.700898255065
GUAD,0.0,10370.951589726137
TMAOR1_num1,0.0,-344.6370721951444
TMAOR2,0.0,-445.21323544501143
DGK1,0.0,-1136.2637851372438
DTMPK,0.0026166,-89.32929391697871
NDPK1_num1,0.07900139999999806,-256.5615402271287
TRDR_num1,0.024748199999999995,-537.3486725979365
PGMT_num1,0.0,462.7398525342999
FRUK,0.0,-248.5026194162819
RHCCE,0.08426260936016321,-427768.7004207941
KG6PDC_num1,0.0,2124.802150160201
X5PL3E_num1,0.0,1701.4802788183943
DOGULNR,0.0,-767.5711681148005
BETALDHx,0.0,-2078.985016304847
BETALDHy,0.0,-2396.0950100422815
MLTG3,0.0,-338.0146762104755
DKGLCNR1_num1,0.0,-658.8106060186801
NADTRHD,0.0,957.7763804939168
FMNRx2_num1,0.0,-48.84174713691402
ACPS1_num1,0.0,-171.87593812014154
EX_nmn_e,0.0,207209.4772863372
EX_urea_e,0.0,-2.0
GMPS2,0.0,-413.39368507509766
AMPN,0.0,6531.00075433088
GSNK,0.0,-336.1199998069714
EX_f6p_e,0.0,103.37831577060578
ADCS,6.690000000000862e-05,-1793.6527541675953
ADCL_num1,0.0,1030.7847741870937
DHAPT,0.0,958.65452592265
EX_lac__D_e,0.0,-2.0
UMPK_num1,0.0378039,-142.10990425022646
DDPGALA,0.0,-199.10798413510025
DURIK1,0.0,-430.92409965481414
UPPRT,0.0,5103.390350927233
CTPS2,0.016052499999999997,-1453.049832391709
NTD1_num1,0.0,1693.4917004117497
NTD7_num1,0.0,-372.05294281223735
PAPPT3,0.0027788,-39.64995570984502
UAGPT3,0.0027788,-149.0197668991986
EX_ttdcea_e,0.0,95089.82581652049
F6PA_num1,0.0,645.5133741213135
AGMHE,0.0,-1084.5607140008724
GMHEPAT,0.0,-71.74308035653307
EX_h2s_e,0.0,0.0
EX_gthrd_e,0.0,21265.36388846337
IDOND,0.0,-452.4602110693141
IDOND2,0.0,-96.51718581361285
GLYCLTDx_num1,0.0,852.1815302047653
HPYRRy_num1,0.0,-33.219142295111055
ACODA,0.0295792,-217.30141186301222
ADA,0.0,8244.937200366294
DADA,0.0,-235.20081234519245
ADD,0.0,3064.255430063864
ADSS,0.029930399999998053,-1898.5037679953712
AGDC,0.0,13418.25815576904
ASNN_num1,0.0,4026.6647193300446
ASNS2_num1,0.024105500000000002,-256.9886695286677
ASPCT_num1,0.0,-712.1582637992828
DMPPS,0.0,30508.050864887497
MCOATA,0.24133399999999994,-553.7174928761087
IPDPS,0.0002389000000000024,-5347.115018897841
DAPE,0.0370949,-49.538402261182455
DHDPRy,0.0370949,-545.0420798762843
HSK,0.0544216,-56.87238347463422
SDPTA_num1,0.0,2049.53975479188
THRS,0.0544216,-780.4883801632272
HSST,0.0153911,-592.342700087931
PPNDH,0.0185265,-476.90239978683604
DDPA_num1,0.0,-6.907080314089853
NMNDA,0.0,162505.69205548993
NNAM,0.0,-490.4444553361536
P5CD,0.0,3070.9098864365915
SPMDAT1,0.0,982.5626176583282
SPMDAT2,0.0,1454.9176766622513
TDPADGAT,0.0,102090.00513105809
MALS_num1,0.0,-171.7754844368062
TRE6PP,0.0,-726.8341676805111
EX_met__D_e,0.0,0.0
EX_tartr__L_e,0.0,-2.0
EX_taur_e,0.0,-1.9999999999977613
EX_maltpt_e,0.0,-2.0
EX_glcur_e,0.0,0.0
ADPRDP_num1,0.0,169599.47219768068
ARAI,0.0,-1721.4329453070195
M1PD,0.0,-459.11057459856414
G3PD2,0.0,536.8187547402741
GALS3,0.0,2234.2674426853146
FCI,0.0,5499.652006848671
FCLK,0.0,-184.30751983328986
FCLPA_num1,0.0,-226.17110041493657
ACCOAL_num1,0.0,-982.9621759508336
GALUi,0.0,-2902.489139654335
U23GAAT,0.0038912000000000005,-200.49476193160257
UAAGDS,0.0027788,-442.7134719614259
UAMAS,0.0027788,-508.33850005837115
UAMAGS,0.0027788,-109.05817583942549
UGLYCH,0.0,971.4753890099921
OP4ENH,0.0,-1315.1842693102365
HOPNTAL,0.0,-172.57121282452954
3HPPPNH,0.0,-896.8726086537408
AKGDH,0.0,2159.0951397079043
HPYRRx_num1,0.0,-328.95034406083516
GLYCDx,0.0,3821.049987030183
ASP1DC,6.739999999999524e-05,-13063.838358213921
UGMDDS,0.0027788,-197.9993348891948
UHGADA,0.0038912000000000005,-108.8710171960975
UAGAAT,0.0038912000000000005,-1261.3930332009259
ATPPRT,0.009473800000000001,-2006.8623649543988
HISTD,0.009473800000000001,-1968.2136748818136
IGPDH,0.009473800000000001,-1403.127797958292
PRPPS,0.20187500936016156,-284.7043131065838
PRATPP,0.009473800000000001,-70.36493718497597
PRMICI,0.009473800000000001,-174.06064127858917
SERAT,0.024748199999999995,-307.94667728609056
CYSS_num1,0.024748199999999995,-329.00632328107713
BPNT,0.024748199999999995,-83.64418287444828
PAPSR_num1,0.0,-464.2276369097615
ASPK_num1,0.0,-8.162385596398963
ASAD,0.0,2317.879624459918
DAPDC,0.0343161,-154.6026452801289
EX_mmet_e,0.0,40765.453036526036
METAT,0.08430760936016321,-1480.807034132953
ASCBPL,0.0,-1474.2486427097601
ACBIPGT,0.0,32027.58073380519
ADOCBLS,0.0,-627.5673698071496
ADOCBIK,0.0,26977.704537710248
TMPK,2.23e-05,-10080.17344886823
HPPPNDO,0.0,6150.61002047357
DHCINDO,0.0,-1671.420148461838
HKNDDH,0.0,-398.1663522446748
HKNTDH,0.0,8947.820391686444
GLYCK2,0.0,315.37245275115504
ENTCS,0.0,-515.7268928610661
SULR,0.024748199999999995,-2614.5485225568827
MANPGH,0.0,754.8203802660814
URDGLYCD,0.0,-1748.4283069617031
CBMKr,0.0626587,-205.22875443288277
AMANAPEr,0.0,-222.82022685930497
ACM6PH,0.0,-1152.7286676760596
NNATr,0.00022780000000000022,-387.99069820196934
CYTDH_num1,0.0,9673.301762448747
PSERT,0.16631799999999808,-635.6022341030357
AIRC2,0.044779399999998054,-35.8721258268633
GAPD,6.420182539944573,-11.403385909676174
HEX1,0.0,329.51517686130876
GND,0.8076930046800798,-22.939202247769572
TAUDO,0.0,-3275.7040223155436
DM_amob_c,2e-07,-2.0
ME2,0.0,489.7516817083705
ARGSL,0.0295792,-304.34055343418044
CBPS,0.0,6797.737139523531
GLU5K,0.0221055,-415.0261741362665
IPPS,0.045053100000000006,-380.70644570367034
EX_mg2_e,0.0,2.0
ACOATA,0.0,-562.0365280294791
MLTG2,0.0,927.3087044302952
MLTG1,0.0,-256.25279880274536
AMALT3,0.0,-709.5920144224373
MLTP3,0.0,940.6133826087366
SPODM_num1,0.0,-216.3524506646155
AHCYSNS,0.08426260936016321,-107312.48135762251
TMK,0.0,-830.7319564826885
NTPP4_num1,0.0,1698.847086488915
NTPP3_num1,0.0,194.76785212486368
NTPP6_num1,0.0,2048.6507922628825
NTPP7_num1,0.0,2004.6783521014659
NTPP8_num1,0.0,2796.204818845901
P5CR,0.0221055,-583.3175237127836
CYANST_num1,0.0,-9.926467046962358
DHPPDA2,4.459999999999999e-05,-16665.322545128998
G5SADs,0.0221055,-1.9999999999999574
GMAND,0.0,34478.09257655387
PPCSCT,0.0,488.6319452142336
CYTD,0.0,1010.4793379410403
DCYTD,0.0,-257.2201720442509
DBTS,2e-07,-6381961.701783539
DCTPD,0.0,4313.726486586282
DHDPS,0.0370949,-753.551649034363
G1PACT,0.0094488,-611.5967951569855
GART,0.0,23340.452852428865
CSND,0.0,-4430.59481358323
GF6PTA,0.0094488,-4021.3955266986395
H2SO,0.0,11775.223627424344
GLUCYS,0.0,4164.4039908231625
GLUN_num1,0.0,1046.2708035091687
GLUPRT,0.04480169999999806,-246.82216327622655
GMPR,0.0,13830.031700054715
NADS1,0.00022780000000000022,-80998.84330292353
NTRIR2x,0.0,1276.268191435523
OCBT_num1,0.0,-574.3209124971436
GARFT,0.04480169999999806,-15.71356354133782
GPDDA1,0.0,-626.7931946950598
GPDDA2,0.0,5587.0973252172425
PHETA1_num1,0.0,1465.4522458714378
PPND,0.013811899999999998,-254.61540986756154
TRPS1,0.0,-1881.0136260883964
PRAMPC,0.009473800000000001,-70.36493718497513
MCITL2,0.0,-794.1611196630039
DXYLK,0.0,-665.3264226718911
MDH3,0.0,511.09297186508775
SOTA,0.0,-852.5744734560631
SGSAD,0.0,-450.7144798856351
PTA2,0.0,1190.535788441699
MDH2,0.0,420.9321020416401
ACOTA_num1,0.0,1864.8462316982009
GPDDA5,0.0,-595.7189706478074
PDX5PS,2.23e-05,-7089.693823551608
PPBNGS,0.0001784,-78488.51027000973
PPNCL2,6.739999999999524e-05,-229683.07707528048
PRAGSr,0.04480169999999806,-153.81992352761876
PRFGS,0.04480169999999806,-669.5651530057694
EX_acac_e,0.0,-2.0
ETHAAL,0.0,947.8079272014911
MAN1PT2,0.0,-74.48898331670179
AP4AH,0.0,-98.52418909283725
AP5AH,0.0,-178.21499901302005
ADNCYC,0.0,1488.6898315724957
MI1PP,0.0,-19.17942661579768
MCITS,0.0,-583.9680749554336
PPAKr,0.0,2939.454796909091
NTP3_num1,0.0,1415.3423790958004
PPM2,0.0,863.4850171998087
MOAT2,0.0019456000000000002,-54.97749218796339
EX_adn_e,0.0,28694.527212135625
EX_ins_e,0.0,20608.94578257512
G6PDH2r,0.8076930046800798,-25.753181892543537
NADH5_num1,0.0,612.5339260813525
MOHMT,6.739999999999524e-05,-1866335.7601248182
EX_glyc3p_e,0.0,1042.0078644408845
EX_lcts_e,0.0,-2.0
EX_nac_e,0.0,41157.06448714482
EX_ocdca_e,0.0,2496.062076877429
GMPS,0.024322800000000006,-1148.4577435829706
FTHFLi,0.09534940936016126,-2.0000000004456524
UDPGD,0.0,1481181.2214594407
GLCRD_num1,0.0,323.6121556678534
PPPNDO,0.0,-1484.645234202142
CHRPL_num1,2.23e-05,-5397.8522498267175
TDPAGTA,0.0,-2782.201768508903
UACMAMO,0.0,-633.9745207793584
FBA3,0.0,-1295.704996484452
PMPK,2.23e-05,-15142.141451302003
LCADi,0.0,-2191.1207908051474
ADK3,0.0,968.5769829680485
GLUDC_num1,0.0,6173.886076683292
BSORy,0.0,-392.7058886232608
