,fluxes,equ,kcat_MW,enz
A_OROTtex_num3,0.0,A_orot_e --> A_orot_p,,
A_TRPtex_num1,0.0,A_trp__L_e --> A_trp__L_p,,
A_G3PAT120,0.0,A_ddcaACP_c + A_glyc3p_c --> A_1ddecg3p_c + A_ACP_c,98.84379399,0.0
A_PSSA141,0.0,A_cdpdtdec7eg_c + A_ser__L_c --> A_cmp_c + A_h_c + A_ps141_c,203.1286072,0.0
A_3OAR140_reverse,0.0,A_3hmrsACP_c + A_nadp_c --> A_3omrsACP_c + A_h_c + A_nadph_c,102.18036590000001,0.0
A_Zn2tex_num1,0.0,A_zn2_e --> A_zn2_p,,
A_SO2tex_reverse_num1,0.0,A_so2_p --> A_so2_e,,
A_SUCCtex_num1,0.0,A_succ_e --> A_succ_p,,
B_METDtex_reverse_num4,0.0,B_met__D_p --> B_met__D_e,,
A_TARTRDtex_reverse_num2,0.0,A_tartr__D_p --> A_tartr__D_e,,
A_ETHAtex_num3,0.0,A_etha_e --> A_etha_p,,
A_4ABZGLUtex_num3,0.0,A_4abzglu_e --> A_4abzglu_p,,
B_MLDCP2App_num1,0.0,B_h2o_p + B_murein5p5p_p --> B_alaala_p + B_murein5p3p_p,910.9142545,0.0
A_HCO3E_reverse_num2,0.0,A_h_c + A_hco3_c --> A_co2_c + A_h2o_c,358.85771739999996,0.0
B_DIMPtex_num2,0.0,B_dimp_e --> B_dimp_p,,
A_GLYBtex_reverse_num4,0.0,A_glyb_p --> A_glyb_e,,
B_UDCPDPS,5.500000000000001e-06,B_frdp_c + 8.0 B_ipdp_c --> 8.0 B_ppi_c + B_udcpdp_c,8.859466709,6.208048611337697e-07
B_ASP1DC,6.740000000005075e-05,B_asp__L_c + B_h_c --> B_ala_B_c + B_co2_c,18.21638463,3.69996579283091e-06
A_RNDR3_num2,0.0,A_cdp_c + A_trdrd_c --> A_dcdp_c + A_h2o_c + A_trdox_c,45.83964169,0.0
B_CLtex_reverse_num3,0.0,B_cl_p --> B_cl_e,,
B_ACMUMtex_num4,0.0,B_acmum_e --> B_acmum_p,,
B_PTA2,0.0,B_pi_c + B_ppcoa_c --> B_coa_c + B_ppap_c,194.22421359999998,0.0
B_RNDR1b_num4,0.0,B_adp_c + B_grxrd_c --> B_dadp_c + B_grxox_c + B_h2o_c,87.97184322,0.0
B_PPALtex_reverse_num2,0.0,B_ppal_p --> B_ppal_e,,
B_DHNPTE_reverse,0.0,B_dhmpt_c --> B_dhnpt_c,92.37700728,0.0
A_fru_e_con_1,0.0,A_fru_e --> fru_e,,
A_BTNtex_num2,0.0,A_btn_e --> A_btn_p,,
A_23CGMPtex_num4,0.0,A_23cgmp_e --> A_23cgmp_p,,
B_EX_pacald_e,0.0,B_pacald_e --> ,,
B_Kt2pp_num1,0.0,B_h_p + B_k_p --> B_h_c + B_k_c,,
A_CU2abcpp,0.0,A_atp_c + A_cu2_c + A_h2o_c --> A_adp_c + A_cu2_p + A_h_c + A_pi_c,,
B_EX_galt_e,0.0,B_galt_e --> ,,
A_2AGPEAT141,0.0,A_2agpe141_c + A_atp_c + A_ttdcea_c --> A_amp_c + A_pe141_c + A_ppi_c,231.52768140000003,0.0
A_GLUDC_num2,0.0,A_glu__L_c + A_h_c --> A_4abut_c + A_co2_c,199.9830716,0.0
A_PYDAMtex_reverse_num1,0.0,A_pydam_p --> A_pydam_e,,
B_PPALtex_num2,0.0,B_ppal_e --> B_ppal_p,,
A_NTD2_num1,0.0,A_h2o_c + A_ump_c --> A_pi_c + A_uri_c,384.28995130000004,0.0
A_PLIPA1G141pp,0.0,A_h2o_p + A_pg141_p --> A_2agpg141_p + A_h_p + A_ttdcea_p,140.21670680000003,0.0
A_ORNtex_num2,0.0,A_orn_e --> A_orn_p,,
B_TYMtex_reverse_num2,0.0,B_tym_p --> B_tym_e,,
A_PGP181abcpp,0.0,A_atp_c + A_h2o_c + A_pgp181_c --> A_adp_c + A_h_c + A_pgp181_p + A_pi_c,,
A_etha_e_con_1,0.0,A_etha_e --> etha_e,,
B_lys__L_e_con_2,0.0,lys__L_e --> B_lys__L_e,,
A_DINSt2pp,0.0,A_din_p + A_h_p --> A_din_c + A_h_c,,
A_DALAtex_num3,0.0,A_ala__D_e --> A_ala__D_p,,
