,flux,formula,kcat_MW,enz_useUPBCe
B_galur_e_con_2_reverse,0.0,B_galur_e --> galur_e,,
B_2DDARAA_reverse_num1,1000.0,B_gcald_c + B_pyr_c --> B_2ddara_c,,
A_FUCtex_reverse_num2,1000.0,A_fuc__L_p --> A_fuc__L_e,,
A_SULabcpp_num1,0.0,A_atp_c + A_h2o_c + A_so4_p --> A_adp_c + A_h_c + A_pi_c + A_so4_c,,
A_pydxn_e_con_1,0.0,A_pydxn_e --> pydxn_e,,
A_H2Stex_num4,0.0,A_h2s_e --> A_h2s_p,,
B_TMDPP,0.0,B_pi_c + B_thymd_c --> B_2dr1p_c + B_thym_c,322.8222092,0.0
A_FACOAL120t2pp_num1,0.0,A_atp_c + A_coa_c + A_ddca_p + A_h_p --> A_amp_c + A_ddcacoa_c + A_h_c + A_ppi_c,322.88232739999995,0.0
A_ALAR_reverse_num2,0.0,A_ala__D_c --> A_ala__L_c,1331.861692,0.0
B_FUMtex_reverse_num3,1000.0,B_fum_p --> B_fum_e,,
A_CO2tex_num3,0.0,A_co2_e --> A_co2_p,,
B_MLTGY4pp_num5,0.0,B_murein4px4p4p_p --> B_anhgm4p_p + B_murein4px4p_p,361.31599750000004,0.0
A_ACACT5r_num1,0.0,A_accoa_c + A_dcacoa_c --> A_3oddcoa_c + A_coa_c,599.1200256,0.0
B_ASCBtex_reverse_num2,0.0,B_ascb__L_p --> B_ascb__L_e,,
A_LCTSt3ipp_num1,0.0,A_h_p + A_lcts_c --> A_h_c + A_lcts_p,,
A_PLIPA1E160pp,0.0,A_h2o_p + A_pe160_p --> A_2agpe160_p + A_h_p + A_hdca_p,140.50471409999997,0.0
B_HEX7,0.0,B_atp_c + B_fru_c --> B_adp_c + B_f6p_c + B_h_c,970.1893097999999,0.0
B_2AGPE120tipp,0.0,B_2agpe120_p --> B_2agpe120_c,,
B_PHEt2rpp_reverse_num2,1000.0,B_h_c + B_phe__L_c --> B_h_p + B_phe__L_p,,
B_CD2tex_num2,0.0,B_cd2_e --> B_cd2_p,,
B_G3PEtex_reverse_num4,0.0,B_g3pe_p --> B_g3pe_e,,
A_ARGtex_num2,0.0,A_arg__L_e --> A_arg__L_p,,
B_HEPT1,0.0,B_adphep_LD_c + B_lipa_c --> B_adp_c + B_h_c + B_hlipa_c,291.0502633,0.0
B_INSTtex_reverse_num2,1000.0,B_inost_p --> B_inost_e,,
B_AMALT3,0.0,B_malt_c + B_maltpt_c --> B_glc__D_c + B_malthx_c,336.26647369999995,0.0
A_3UMPtex_reverse_num1,1000.0,A_3ump_p --> A_3ump_e,,
